
injection: 84, rbf_PE_time: 2.04 minutes, sim_time: 4.79 minutes
injection: 85, rbf_PE_time: 1.51 minutes, sim_time: 4.48 minutes
injection: 86, rbf_PE_time: 1.78 minutes, sim_time: 4.53 minutes
injection: 87, rbf_PE_time: 1.87 minutes, sim_time: 4.52 minutes
injection: 88, rbf_PE_time: 1.85 minutes, sim_time: 4.56 minutes
injection: 89, rbf_PE_time: 2.05 minutes, sim_time: 4.80 minutes
injection: 90, rbf_PE_time: 1.77 minutes, sim_time: 4.60 minutes
injection: 91, rbf_PE_time: 1.62 minutes, sim_time: 4.35 minutes
injection: 92, rbf_PE_time: 1.97 minutes, sim_time: 4.59 minutes
injection: 93, rbf_PE_time: 1.87 minutes, sim_time: 4.51 minutes
injection: 94, rbf_PE_time: 1.62 minutes, sim_time: 4.53 minutes
injection: 95, rbf_PE_time: 1.61 minutes, sim_time: 4.32 minutes
injection: 96, rbf_PE_time: 1.60 minutes, sim_time: 4.39 minutes
injection: 97, rbf_PE_time: 1.71 minutes, sim_time: 4.43 minutes
injection: 98, rbf_PE_time: 1.86 minutes, sim_time: 4.49 minutes
injection: 99, rbf_PE_time: 1.59 minutes, sim_time: 4.14 minutes
injection: 100, rbf_PE_time: 1.84 minutes, sim_time: 4.67 minutes
injection: 101, rbf_PE_time: 1.76 minutes, sim_time: 4.60 minutes
injection: 102, rbf_PE_time: 1.61 minutes, sim_time: 4.35 minutes
injection: 103, rbf_PE_time: 1.74 minutes, sim_time: 4.57 minutes
injection: 104, rbf_PE_time: 1.56 minutes, sim_time: 4.45 minutes
injection: 105, rbf_PE_time: 2.13 minutes, sim_time: 4.74 minutes
injection: 106, rbf_PE_time: 2.70 minutes, sim_time: 5.53 minutes
injection: 107, rbf_PE_time: 1.73 minutes, sim_time: 4.57 minutes
injection: 108, rbf_PE_time: 1.48 minutes, sim_time: 4.20 minutes
injection: 109, rbf_PE_time: 1.61 minutes, sim_time: 4.31 minutes
injection: 110, rbf_PE_time: 2.66 minutes, sim_time: 5.39 minutes
injection: 111, rbf_PE_time: 1.91 minutes, sim_time: 4.71 minutes
injection: 112, rbf_PE_time: 1.93 minutes, sim_time: 5.23 minutes
injection: 113, rbf_PE_time: 2.35 minutes, sim_time: 5.18 minutes
injection: 114, rbf_PE_time: 1.53 minutes, sim_time: 4.35 minutes
injection: 115, rbf_PE_time: 1.60 minutes, sim_time: 4.49 minutes
injection: 116, rbf_PE_time: 1.71 minutes, sim_time: 4.36 minutes
injection: 117, rbf_PE_time: 2.21 minutes, sim_time: 4.99 minutes
injection: 118, rbf_PE_time: 1.87 minutes, sim_time: 4.65 minutes
injection: 119, rbf_PE_time: 2.01 minutes, sim_time: 5.10 minutes
injection: 120, rbf_PE_time: 1.57 minutes, sim_time: 4.47 minutes
injection: 121, rbf_PE_time: 1.77 minutes, sim_time: 4.59 minutes
injection: 122, rbf_PE_time: 1.65 minutes, sim_time: 4.62 minutes
injection: 123, rbf_PE_time: 1.68 minutes, sim_time: 4.30 minutes
injection: 124, rbf_PE_time: 1.89 minutes, sim_time: 4.56 minutes
injection: 125, rbf_PE_time: 1.75 minutes, sim_time: 4.49 minutes
injection: 126, rbf_PE_time: 1.72 minutes, sim_time: 4.58 minutes
injection: 127, rbf_PE_time: 1.51 minutes, sim_time: 4.20 minutes
injection: 128, rbf_PE_time: 1.88 minutes, sim_time: 4.62 minutes
injection: 129, rbf_PE_time: 1.43 minutes, sim_time: 4.38 minutes
injection: 130, rbf_PE_time: 1.59 minutes, sim_time: 4.29 minutes
injection: 131, rbf_PE_time: 1.75 minutes, sim_time: 4.53 minutes
injection: 132, rbf_PE_time: 1.80 minutes, sim_time: 4.64 minutes
injection: 133, rbf_PE_time: 1.83 minutes, sim_time: 4.76 minutes
injection: 134, rbf_PE_time: 1.85 minutes, sim_time: 4.58 minutes
injection: 135, rbf_PE_time: 1.63 minutes, sim_time: 4.77 minutes
injection: 136, rbf_PE_time: 2.64 minutes, sim_time: 5.27 minutes
injection: 137, rbf_PE_time: 1.99 minutes, sim_time: 4.90 minutes
injection: 138, rbf_PE_time: 1.79 minutes, sim_time: 4.50 minutes
injection: 139, rbf_PE_time: 2.03 minutes, sim_time: 4.73 minutes
injection: 140, rbf_PE_time: 1.65 minutes, sim_time: 4.54 minutes
injection: 141, rbf_PE_time: 1.94 minutes, sim_time: 4.66 minutes
injection: 142, rbf_PE_time: 1.66 minutes, sim_time: 4.47 minutes
injection: 143, rbf_PE_time: 1.64 minutes, sim_time: 4.48 minutes
injection: 144, rbf_PE_time: 1.56 minutes, sim_time: 4.45 minutes
injection: 145, rbf_PE_time: 1.60 minutes, sim_time: 4.36 minutes
injection: 146, rbf_PE_time: 1.55 minutes, sim_time: 4.25 minutes
injection: 147, rbf_PE_time: 1.96 minutes, sim_time: 4.89 minutes
injection: 148, rbf_PE_time: 2.00 minutes, sim_time: 4.69 minutes
injection: 149, rbf_PE_time: 1.83 minutes, sim_time: 4.46 minutes
injection: 150, rbf_PE_time: 1.75 minutes, sim_time: 4.63 minutes
injection: 151, rbf_PE_time: 1.63 minutes, sim_time: 4.50 minutes
injection: 152, rbf_PE_time: 1.96 minutes, sim_time: 4.62 minutes
injection: 153, rbf_PE_time: 2.17 minutes, sim_time: 4.84 minutes
injection: 154, rbf_PE_time: 1.68 minutes, sim_time: 4.51 minutes
injection: 155, rbf_PE_time: 1.81 minutes, sim_time: 4.47 minutes
injection: 156, rbf_PE_time: 2.16 minutes, sim_time: 4.83 minutes
injection: 157, rbf_PE_time: 1.63 minutes, sim_time: 4.50 minutes
injection: 158, rbf_PE_time: 1.71 minutes, sim_time: 4.56 minutes
injection: 159, rbf_PE_time: 1.83 minutes, sim_time: 4.60 minutes
